year,iso_code,country,debt_type,prices,units,value
2017,LSO,Lesotho,Multilateral,constant,USD million,20.2311
2017,MAR,Morocco,Multilateral,constant,USD million,2030.5655
2017,MDA,Moldova,Multilateral,constant,USD million,68.202
2017,MDG,Madagascar,Multilateral,constant,USD million,8.0279
2017,MDV,Maldives,Multilateral,constant,USD million,7.9601
2017,MEX,Mexico,Multilateral,constant,USD million,2344.9033
2017,MKD,North Macedonia,Multilateral,constant,USD million,94.9038
2017,MLI,Mali,Multilateral,constant,USD million,30.8604
2017,MMR,Myanmar,Multilateral,constant,USD million,0.5432
2017,MNE,Montenegro,Multilateral,constant,USD million,23.9643
2017,MNG,Mongolia,Multilateral,constant,USD million,422.8131
2017,MOZ,Mozambique,Multilateral,constant,USD million,4.3444
2017,MRT,Mauritania,Multilateral,constant,USD million,172.6106
2017,MUS,Mauritius,Multilateral,constant,USD million,52.1188
2017,MWI,Malawi,Multilateral,constant,USD million,5.0695
2017,NER,Niger,Multilateral,constant,USD million,67.6424
2017,NGA,Nigeria,Multilateral,constant,USD million,1586.9161
2017,NIC,Nicaragua,Multilateral,constant,USD million,485.5283
2017,NPL,Nepal,Multilateral,constant,USD million,13.6406
2017,PAK,Pakistan,Multilateral,constant,USD million,2291.9993
2017,PER,Peru,Multilateral,constant,USD million,334.7226
2017,PHL,Philippines,Multilateral,constant,USD million,1212.8634
2017,PNG,Papua New Guinea,Multilateral,constant,USD million,104.4361
2017,PRY,Paraguay,Multilateral,constant,USD million,409.3229
2017,RUS,Russian Federation,Multilateral,constant,USD million,56.7883
2017,RWA,Rwanda,Multilateral,constant,USD million,14.7662
2017,SDN,Sudan,Multilateral,constant,USD million,51.8898
2017,SEN,Senegal,Multilateral,constant,USD million,78.119
2017,SLE,Sierra Leone,Multilateral,constant,USD million,2.0218
2017,SLV,El Salvador,Multilateral,constant,USD million,361.5187
2017,SRB,Serbia,Multilateral,constant,USD million,774.9253
2017,SUR,Suriname,Multilateral,constant,USD million,35.6741
2017,SWZ,Eswatini,Multilateral,constant,USD million,40.7499
2017,TCD,Chad,Multilateral,constant,USD million,79.9639
2017,TGO,Togo,Multilateral,constant,USD million,44.0772
2017,TJK,Tajikistan,Multilateral,constant,USD million,47.4055
2017,TKM,Turkmenistan,Multilateral,constant,USD million,22.8582
2017,TLS,Timor-Leste,Multilateral,constant,USD million,28.7869
2017,TUN,Tunisia,Multilateral,constant,USD million,1508.4772
2017,TUR,Turkiye,Multilateral,constant,USD million,3525.4219
2017,TZA,Tanzania,Multilateral,constant,USD million,64.8577
2017,UGA,Uganda,Multilateral,constant,USD million,244.4646
2017,UKR,Ukraine,Multilateral,constant,USD million,1560.6716
2017,UZB,Uzbekistan,Multilateral,constant,USD million,815.7407
2017,VCT,St. Vincent and the Grenadines,Multilateral,constant,USD million,4.8723
2017,VNM,Viet Nam,Multilateral,constant,USD million,1267.5062
2017,WSM,Samoa,Multilateral,constant,USD million,1.5203
2017,XKX,Kosovo,Multilateral,constant,USD million,8.4057
2017,YEM,"Yemen, Rep.",Multilateral,constant,USD million,4.3796
2017,ZAF,South Africa,Multilateral,constant,USD million,1104.4973
2017,ZMB,Zambia,Multilateral,constant,USD million,45.3916
2017,ZWE,Zimbabwe,Multilateral,constant,USD million,0.271
2018,AGO,Angola,Multilateral,constant,USD million,69.399
2018,ALB,Albania,Multilateral,constant,USD million,222.5755
2018,ARG,Argentina,Multilateral,constant,USD million,4315.9063
2018,ARM,Armenia,Multilateral,constant,USD million,160.0534
2018,AZE,Azerbaijan,Multilateral,constant,USD million,1565.4385
2018,BEN,Benin,Multilateral,constant,USD million,58.3594
2018,BFA,Burkina Faso,Multilateral,constant,USD million,58.5589
2018,BGD,Bangladesh,Multilateral,constant,USD million,936.4677
2018,BGR,Bulgaria,Multilateral,constant,USD million,172.9511
2018,BIH,Bosnia and Herzegovina,Multilateral,constant,USD million,298.1226
2018,BLR,Belarus,Multilateral,constant,USD million,354.8407
2018,BLZ,Belize,Multilateral,constant,USD million,39.1259
